,PLAYER,G,GLS,GPG,AST,APG,BLK,BPG,+ / -,+/- PG,CMP,CPG,CMP %,PP,PPG
436,Devon Rogers,5,3,0.60,0,0.00,1,0.20,2,0.40,27,5.40,96.40,77,15.40
437,Houston Parks,9,3,0.33,4,0.44,5,0.56,7,0.78,15,1.67,88.20,128,14.22
438,Aidan Hall,6,2,0.33,1,0.17,0,0.00,3,0.50,13,2.17,100.00,62,10.33
439,Jakeem Polk,6,2,0.33,0,0.00,5,0.83,7,1.17,10,1.67,100.00,64,10.67
440,Brice Dunn,8,2,0.25,4,0.50,8,1.00,11,1.38,31,3.88,93.90,144,18.00
441,Corey Mika,7,2,0.29,2,0.29,1,0.14,1,0.14,6,0.86,75.00,73,10.43
442,Ryan Holmes,7,2,0.29,0,0.00,0,0.00,1,0.14,8,1.14,88.90,58,8.29
443,Michael Egan,6,2,0.33,0,0.00,2,0.33,2,0.33,2,0.33,50.00,42,7.00
444,Bryce Lozinski,4,2,0.50,0,0.00,1,0.25,1,0.25,10,2.50,90.90,44,11.00
445,JD Hastings,10,2,0.20,7,0.70,3,0.30,8,0.80,63,6.30,95.50,148,14.80
446,Sol Yanuck,9,2,0.22,12,1.33,9,1.00,15,1.67,168,18.67,95.50,171,19.00
447,Donovan Triplett,12,2,0.17,4,0.33,2,0.17,2,0.17,82,6.83,93.20,157,13.08
448,Dayne Meyer,12,2,0.17,3,0.25,5,0.42,8,0.67,31,2.58,96.90,121,10.08
449,Sun Choi,10,2,0.20,10,1.00,3,0.30,6,0.60,90,9.00,90.90,132,13.20
450,Derek Alexander,4,2,0.50,10,2.50,1,0.25,0,0.00,159,39.75,93.50,86,21.50
451,Ryan Wallace,9,2,0.22,0,0.00,4,0.44,4,0.44,15,1.67,93.80,71,7.89
452,David Meinecke,6,2,0.33,4,0.67,2,0.33,0,0.00,38,6.33,84.40,94,15.67
453,Kayhee Fong,3,2,0.67,2,0.67,0,0.00,3,1.00,16,5.33,100.00,42,14.00
454,Matthew Bierschenk,8,2,0.25,2,0.25,0,0.00,0,0.00,35,4.38,89.70,87,10.88
455,Matt Theologidy,9,2,0.22,1,0.11,2,0.22,3,0.33,59,6.56,96.70,118,13.11
456,Aaron Weaver,7,2,0.29,1,0.14,3,0.43,0,0.00,13,1.86,86.70,78,11.14
457,Will Turner,11,2,0.18,11,1.00,15,1.36,22,2.00,163,14.82,97.00,231,21.00
458,Kevin Jay,9,2,0.22,0,0.00,3,0.33,3,0.33,21,2.33,91.30,78,8.67
459,CJ O'Brien,3,2,0.67,0,0.00,0,0.00,2,0.67,1,0.33,100.00,12,4.00
460,Ray Mendoza,10,2,0.20,2,0.20,5,0.50,6,0.60,29,2.90,90.60,114,11.40
461,Reese Bowman,4,2,0.50,0,0.00,0,0.00,0,0.00,13,3.25,86.70,44,11.00
462,Matthew Hankin,5,2,0.40,1,0.20,1,0.20,0,0.00,37,7.40,97.40,73,14.60
463,Kristian Johnson,8,2,0.25,13,1.63,2,0.25,-1,-0.13,142,17.75,88.80,165,20.63
464,Carter Rae,6,2,0.33,7,1.17,3,0.50,9,1.50,38,6.33,92.70,85,14.17
465,Vincent Gamache,12,2,0.17,6,0.50,6,0.50,4,0.33,115,9.58,93.50,153,12.75
