,PLAYER,G,GLS,GPG,AST,APG,BLK,BPG,+ / -,+/- PG,CMP,CPG,CMP %,PP,PPG
590,Zakarie Massi,3,0,0.00,3,1.00,0,0.00,2,0.67,6,2.00,100.00,30,10.00
591,Henry Rodriguez,1,0,0.00,0,0.00,2,2.00,1,1.00,3,3.00,75.00,15,15.00
592,Estéban Ceballos,10,0,0.00,2,0.20,5,0.50,0,0.00,32,3.20,84.20,131,13.10
593,Nathan Bussberg,1,0,0.00,0,0.00,0,0.00,0,0.00,2,2.00,100.00,8,8.00
594,Sam Batson,8,0,0.00,4,0.50,3,0.38,4,0.50,24,3.00,88.90,67,8.38
595,Zubair Abdulla,4,0,0.00,0,0.00,0,0.00,0,0.00,2,0.50,100.00,19,4.75
596,Zac Merie,1,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00,5,5.00
597,Xtehn Titcomb,4,0,0.00,1,0.25,0,0.00,-1,-0.25,13,3.25,86.70,43,10.75
598,Wasdi Grimaldo,3,0,0.00,0,0.00,2,0.67,1,0.33,1,0.33,50.00,22,7.33
599,Tyler DeGirolamo,2,0,0.00,3,1.50,2,1.00,3,1.50,35,17.50,97.20,34,17.00
600,Tony Poletto,1,0,0.00,2,2.00,1,1.00,-1,-1.00,18,18.00,85.70,15,15.00
601,Bryan Kuo,5,0,0.00,1,0.20,3,0.60,3,0.60,13,2.60,92.90,46,9.20
602,Stève Bonneau,8,0,0.00,27,3.38,1,0.13,15,1.88,227,28.38,95.00,140,17.50
603,Stephen Poulos,5,0,0.00,2,0.40,0,0.00,-7,-1.40,35,7.00,83.30,55,11.00
604,Anders Olsen,3,0,0.00,1,0.33,1,0.33,0,0.00,31,10.33,93.90,45,15.00
605,Wyatt Berreman,1,0,0.00,0,0.00,1,1.00,1,1.00,0,0.00,0.00,8,8.00
606,Alex Bullock,5,0,0.00,2,0.40,1,0.20,-3,-0.60,26,5.20,86.70,37,7.40
607,Kyle  Dew,1,0,0.00,0,0.00,0,0.00,0,0.00,1,1.00,100.00,9,9.00
608,Chad McCausland,6,0,0.00,0,0.00,0,0.00,-2,-0.33,8,1.33,100.00,48,8.00
609,Barrett Wachholz,2,0,0.00,4,2.00,1,0.50,1,0.50,15,7.50,88.20,30,15.00
610,Jonathan Lee,6,0,0.00,0,0.00,0,0.00,-6,-1.00,29,4.83,82.90,50,8.33
611,Scott Xu,4,0,0.00,7,1.75,1,0.25,-2,-0.50,40,10.00,81.60,71,17.75
612,Ryan Saffa,3,0,0.00,0,0.00,2,0.67,2,0.67,5,1.67,100.00,27,9.00
613,Neil Proefrock,2,0,0.00,0,0.00,0,0.00,0,0.00,3,1.50,100.00,5,2.50
614,Peter Mancini,5,0,0.00,0,0.00,0,0.00,-2,-0.40,5,1.00,100.00,47,9.40
615,Dennis Maclaine,3,0,0.00,0,0.00,0,0.00,-1,-0.33,1,0.33,50.00,22,7.33
616,Jacob Komenda,2,0,0.00,0,0.00,1,0.50,1,0.50,2,1.00,100.00,30,15.00
617,Sam Brecker,2,0,0.00,0,0.00,0,0.00,0,0.00,1,0.50,100.00,7,3.50
618,Jeffery Minowa,2,0,0.00,0,0.00,0,0.00,-1,-0.50,3,1.50,75.00,23,11.50
619,Pat Cashman,5,0,0.00,2,0.40,1,0.20,3,0.60,8,1.60,100.00,32,6.40
620,Jay Boyle,2,0,0.00,1,0.50,0,0.00,1,0.50,8,4.00,100.00,20,10.00
621,Michael Dehnbostel,2,0,0.00,0,0.00,1,0.50,1,0.50,1,0.50,100.00,14,7.00
622,Matthew Knowles,7,0,0.00,13,1.86,0,0.00,7,1.00,117,16.71,95.10,108,15.43
623,Matt Auletta,11,0,0.00,4,0.36,0,0.00,-1,-0.09,34,3.09,89.50,110,10.00
624,Mark Lin,2,0,0.00,1,0.50,0,0.00,-2,-1.00,20,10.00,90.90,35,17.50
625,Lars Hanselman,1,0,0.00,0,0.00,0,0.00,-1,-1.00,7,7.00,87.50,10,10.00
626,Kyle Cox,11,0,0.00,4,0.36,3,0.27,-5,-0.45,117,10.64,91.40,143,13.00
627,Kurt Gibson,1,0,0.00,0,0.00,0,0.00,-2,-2.00,7,7.00,87.50,17,17.00
628,Josh Beaulieu,10,0,0.00,1,0.10,1,0.10,-1,-0.10,15,1.50,83.30,81,8.10
629,Coleman Tappero,1,0,0.00,0,0.00,0,0.00,0,0.00,7,7.00,100.00,17,17.00
630,Jonathan Nethercutt,2,0,0.00,10,5.00,2,1.00,11,5.50,50,25.00,98.00,53,26.50
631,Zach Grappone,1,0,0.00,0,0.00,0,0.00,-1,-1.00,0,0.00,0.00,4,4.00
632,BJ Barrett,3,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00,4,1.33
633,Joe Ouellette,2,0,0.00,0,0.00,0,0.00,-1,-0.50,3,1.50,75.00,19,9.50
634,Jesse Bolton,4,0,0.00,3,0.75,3,0.75,2,0.50,30,7.50,90.90,60,15.00
635,Jason Tschida,1,0,0.00,3,3.00,2,2.00,-1,-1.00,31,31.00,86.10,15,15.00
636,Jacques Perivier,4,0,0.00,1,0.25,1,0.25,-1,-0.25,32,8.00,91.40,51,12.75
637,Heath Kalaba,3,0,0.00,1,0.33,2,0.67,2,0.67,13,4.33,92.90,25,8.33
638,Ethan Rasmussen,2,0,0.00,3,1.50,2,1.00,5,2.50,15,7.50,100.00,31,15.50
639,Dustin Hughes,6,0,0.00,0,0.00,1,0.17,0,0.00,16,2.67,100.00,69,11.50
640,David Woods,5,0,0.00,1,0.20,0,0.00,0,0.00,12,2.40,92.30,36,7.20
641,Patrick Diviney,2,0,0.00,0,0.00,0,0.00,-1,-0.50,0,0.00,0.00,13,6.50
642,Ashton Hoffman,7,0,0.00,4,0.57,1,0.14,4,0.57,22,3.14,95.70,42,6.00
643,David Baer,3,0,0.00,2,0.67,1,0.33,1,0.33,30,10.00,93.80,44,14.67
644,Josh Poterack,2,0,0.00,0,0.00,2,1.00,2,1.00,4,2.00,100.00,22,11.00
645,Robert Hunt,1,0,0.00,0,0.00,0,0.00,0,0.00,1,1.00,100.00,10,10.00
646,Colton Steiner,4,0,0.00,0,0.00,0,0.00,0,0.00,9,2.25,100.00,38,9.50
647,Colin Froats,6,0,0.00,0,0.00,0,0.00,0,0.00,10,1.67,100.00,42,7.00
648,Jeff Holm,3,0,0.00,2,0.67,0,0.00,1,0.33,13,4.33,92.90,49,16.33
649,Cole Jensen,1,0,0.00,0,0.00,0,0.00,-1,-1.00,0,0.00,0.00,14,14.00
650,Chase Cunningham,1,0,0.00,2,2.00,0,0.00,2,2.00,8,8.00,100.00,9,9.00
651,Casey Hogg,2,0,0.00,2,1.00,1,0.50,3,1.50,8,4.00,100.00,27,13.50
652,Will Frolich,1,0,0.00,0,0.00,0,0.00,-1,-1.00,0,0.00,0.00,11,11.00
653,John Boezi,5,0,0.00,0,0.00,0,0.00,0,0.00,2,0.40,100.00,14,2.80
654,Bryce Ring,11,0,0.00,1,0.09,2,0.18,-4,-0.36,74,6.73,91.40,105,9.55
655,William Johnson,1,0,0.00,0,0.00,0,0.00,-1,-1.00,13,13.00,92.90,13,13.00
656,Bryan Yue,9,0,0.00,0,0.00,3,0.33,0,0.00,27,3.00,93.10,72,8.00
657,Brenton Hard,4,0,0.00,0,0.00,0,0.00,-2,-0.50,13,3.25,92.90,26,6.50
658,Anish Indhupuru,2,0,0.00,0,0.00,0,0.00,0,0.00,3,1.50,100.00,12,6.00
659,Donald Robinson,2,0,0.00,0,0.00,1,0.50,1,0.50,1,0.50,100.00,19,9.50
660,Brandon Perales,5,0,0.00,3,0.60,2,0.40,-2,-0.40,55,11.00,90.20,52,10.40
661,Brandon Dial,7,0,0.00,3,0.43,2,0.29,1,0.14,19,2.71,90.50,72,10.29
662,Ben Feldman,1,0,0.00,0,0.00,0,0.00,-1,-1.00,3,3.00,75.00,3,3.00
663,Eric Witmer,4,0,0.00,0,0.00,2,0.50,2,0.50,5,1.25,100.00,37,9.25
664,Andrew Kohl,4,0,0.00,1,0.25,1,0.25,2,0.50,21,5.25,100.00,53,13.25
665,Hayden Austin-Knab,1,0,0.00,1,1.00,0,0.00,1,1.00,7,7.00,100.00,14,14.00
666,Derek Fan,4,0,0.00,1,0.25,0,0.00,0,0.00,14,3.50,93.30,47,11.75
667,Jonathan Costello,1,0,0.00,2,2.00,1,1.00,3,3.00,4,4.00,100.00,13,13.00
668,Brian Street,7,0,0.00,1,0.14,0,0.00,0,0.00,10,1.43,90.90,30,4.29
669,Jordan Faries,1,0,0.00,0,0.00,0,0.00,-1,-1.00,0,0.00,0.00,12,12.00
670,Ben Pavelka,3,0,0.00,1,0.33,0,0.00,0,0.00,23,7.67,95.80,27,9.00
671,Andrew Gardner,2,0,0.00,0,0.00,1,0.50,1,0.50,2,1.00,100.00,15,7.50
672,Francisco Gomez,6,0,0.00,1,0.17,3,0.50,2,0.33,7,1.17,87.50,69,11.50
673,AJ Humbert,1,0,0.00,0,0.00,0,0.00,-1,-1.00,2,2.00,66.70,17,17.00
674,Reggie Sung,7,0,0.00,0,0.00,0,0.00,-2,-0.29,12,1.71,85.70,61,8.71
675,Bailey Wu,11,0,0.00,3,0.27,5,0.45,7,0.64,23,2.09,100.00,106,9.64
676,Austin Walker,5,0,0.00,3,0.60,2,0.40,1,0.20,23,4.60,85.20,61,12.20
677,David Nester,1,0,0.00,1,1.00,1,1.00,2,2.00,2,2.00,100.00,16,16.00
678,Troy Roberts,2,0,0.00,1,0.50,1,0.50,1,0.50,3,1.50,75.00,17,8.50
679,Dylan Smith,3,0,0.00,0,0.00,1,0.33,0,0.00,11,3.67,91.70,31,10.33
680,Thomas Anderson,1,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00,15,15.00
